CIWS Data Logger Output File
DataloggerName: 0003
SiteName: Site 0003
SiteDescription: Neptune T10 Residential Water Meter
TimeStamp,RecordNumber,Mem_Space_Available,Battery_Voltage,Water_Meter_Pulses,N/A,N/A,N/A
2018-08-22 16:45:20.123314,1,10377441280,10.7648093842,0,0,0,0
2018-08-22 16:45:24.168611,2,10377441280,10.8140762463,0,0,0,0
2018-08-22 16:45:28.189485,3,10377441280,10.7524926686,0,0,0,0
2018-08-22 16:45:32.210063,4,10377441280,10.7524926686,0,0,0,0
2018-08-22 16:45:36.231773,5,10377437184,10.7894428152,0,0,0,0
2018-08-22 16:45:40.253469,6,10377433088,10.7648093842,0,0,0,0
2018-08-22 16:45:44.274595,7,10377433088,10.7894428152,0,0,0,0
2018-08-22 16:45:48.291986,8,10377433088,10.7894428152,1,0,0,0
2018-08-22 16:45:52.300837,9,10377433088,10.7648093842,0,0,0,0
2018-08-22 16:45:56.310036,10,10377433088,10.7648093842,0,0,0,0
2018-08-22 16:46:00.328673,11,10377433088,10.8017595308,0,0,0,0
2018-08-22 16:46:04.349637,12,10377433088,10.7648093842,0,0,0,0
2018-08-22 16:46:08.371325,13,10377428992,10.7771260997,0,0,0,0
2018-08-22 16:46:12.392637,14,10377428992,10.8263929619,0,0,0,0
2018-08-22 16:46:16.412647,15,10377428992,10.8263929619,0,0,0,0
2018-08-22 16:46:20.433472,16,10377428992,10.7771260997,0,0,0,0
2018-08-22 16:46:24.455197,17,10377428992,10.8140762463,0,0,0,0
2018-08-22 16:46:28.471484,18,10377428992,10.7894428152,1,0,0,0
2018-08-22 16:46:32.480286,19,10377428992,10.7894428152,0,0,0,0
2018-08-22 16:46:36.490038,20,10377424896,10.8017595308,0,0,0,0
2018-08-22 16:46:40.499536,21,10377424896,10.8140762463,0,0,0,0
2018-08-22 16:46:44.510098,22,10377424896,10.7894428152,0,0,0,0
2018-08-22 16:46:48.518824,23,10377424896,10.7894428152,0,0,0,0
2018-08-22 16:46:52.527494,24,10377424896,10.7894428152,0,0,0,0
2018-08-22 16:46:56.537795,25,10377424896,10.7401759531,0,0,0,0
2018-08-22 16:47:00.556979,26,10377424896,10.7894428152,0,0,0,0
2018-08-22 16:47:04.578470,27,10377420800,10.8017595308,0,0,0,0
2018-08-22 16:47:08.599235,28,10377420800,10.8140762463,0,0,0,0
2018-08-22 16:47:12.619922,29,10377420800,10.7401759531,0,0,0,0
2018-08-22 16:47:16.640815,30,10377420800,10.7648093842,0,0,0,0
2018-08-22 16:47:20.661189,31,10377420800,10.7524926686,0,0,0,0
2018-08-22 16:47:24.678532,32,10377420800,10.7648093842,1,0,0,0
2018-08-22 16:47:28.688442,33,10377420800,10.7648093842,0,0,0,0
2018-08-22 16:47:32.696973,34,10377420800,10.8140762463,0,0,0,0
2018-08-22 16:47:36.705715,35,10377416704,10.7401759531,0,0,0,0
2018-08-22 16:47:40.723509,36,10377416704,10.7401759531,0,0,0,0
2018-08-22 16:47:44.745343,37,10377416704,10.7401759531,0,0,0,0
2018-08-22 16:47:48.766106,38,10377416704,10.7648093842,0,0,0,0
2018-08-22 16:47:52.786407,39,10377416704,10.7524926686,0,0,0,0
2018-08-22 16:47:56.806114,40,10377416704,10.7648093842,1,0,0,0
2018-08-22 16:48:00.815268,41,10377416704,10.7771260997,0,0,0,0
2018-08-22 16:48:04.824159,42,10377412608,10.7648093842,0,0,0,0
2018-08-22 16:48:08.832708,43,10377412608,10.7771260997,0,0,0,0
2018-08-22 16:48:12.842445,44,10377412608,10.7524926686,0,0,0,0
2018-08-22 16:48:16.852243,45,10377412608,10.7278592375,0,0,0,0
2018-08-22 16:48:20.873203,46,10377412608,10.7401759531,0,0,0,0
2018-08-22 16:48:24.895605,47,10377412608,10.8140762463,0,0,0,0
2018-08-22 16:48:28.916762,48,10377412608,10.7894428152,0,0,0,0
2018-08-22 16:48:32.936869,49,10377408512,10.7894428152,0,0,0,0
2018-08-22 16:48:36.957478,50,10377408512,10.7524926686,0,0,0,0
2018-08-22 16:48:40.978801,51,10377408512,10.7648093842,0,0,0,0
2018-08-22 16:48:45.000268,52,10377408512,10.7648093842,0,0,0,0
2018-08-22 16:48:49.021405,53,10377408512,10.7648093842,0,0,0,0
2018-08-22 16:48:53.042685,54,10377408512,10.7401759531,0,0,0,0
2018-08-22 16:48:57.061862,55,10377408512,10.7524926686,1,0,0,0
2018-08-22 16:49:01.082600,56,10377404416,10.7524926686,0,0,0,0
2018-08-22 16:49:05.102868,57,10377404416,10.7894428152,0,0,0,0
2018-08-22 16:49:09.124700,58,10377404416,10.7401759531,0,0,0,0
2018-08-22 16:49:13.146009,59,10377404416,10.7524926686,0,0,0,0
2018-08-22 16:49:17.167258,60,10377404416,10.7401759531,0,0,0,0
2018-08-22 16:49:21.187148,61,10377404416,10.7524926686,0,0,0,0
2018-08-22 16:49:25.208137,62,10377400320,10.7894428152,0,0,0,0
2018-08-22 16:49:29.228146,63,10377396224,10.7894428152,1,0,0,0
2018-08-22 16:49:33.238387,64,10377396224,10.8017595308,0,0,0,0
2018-08-22 16:49:37.246878,65,10377396224,10.7771260997,0,0,0,0
2018-08-22 16:49:41.255889,66,10377396224,10.7894428152,0,0,0,0
2018-08-22 16:49:45.266087,67,10377396224,10.7894428152,0,0,0,0
2018-08-22 16:49:49.283770,68,10377396224,10.7524926686,0,0,0,0
2018-08-22 16:49:53.304961,69,10377396224,10.8017595308,0,0,0,0
2018-08-22 16:49:57.325891,70,10377392128,10.7648093842,0,0,0,0
2018-08-22 16:50:01.346719,71,10377392128,10.7894428152,0,0,0,0
2018-08-22 16:50:05.368064,72,10377392128,10.7648093842,0,0,0,0
2018-08-22 16:50:09.389472,73,10377392128,10.7524926686,0,0,0,0
2018-08-22 16:50:13.406920,74,10377392128,10.7278592375,1,0,0,0
2018-08-22 16:50:17.415517,75,10377392128,10.7771260997,0,0,0,0
2018-08-22 16:50:21.425754,76,10377392128,10.8017595308,0,0,0,0
2018-08-22 16:50:25.435095,77,10377392128,10.7401759531,0,0,0,0
2018-08-22 16:50:29.453493,78,10377388032,10.7771260997,0,0,0,0
2018-08-22 16:50:33.473619,79,10377388032,10.7648093842,0,0,0,0
2018-08-22 16:50:37.494366,80,10377388032,10.7278592375,0,0,0,0
2018-08-22 16:50:41.515991,81,10377388032,10.7648093842,0,0,0,0
2018-08-22 16:50:45.537505,82,10377388032,10.8017595308,0,0,0,0
2018-08-22 16:50:49.558976,83,10377388032,10.7894428152,0,0,0,0
2018-08-22 16:50:53.577250,84,10377388032,10.8017595308,1,0,0,0
2018-08-22 16:50:57.586526,85,10377383936,10.7524926686,0,0,0,0
2018-08-22 16:51:01.596005,86,10377383936,10.8140762463,0,0,0,0
2018-08-22 16:51:05.605734,87,10377383936,10.8140762463,0,0,0,0
2018-08-22 16:51:09.614551,88,10377383936,10.7771260997,0,0,0,0
2018-08-22 16:51:13.635692,89,10377383936,10.7524926686,0,0,0,0
2018-08-22 16:51:17.655621,90,10377383936,10.7648093842,0,0,0,0
2018-08-22 16:51:21.675980,91,10377383936,10.7524926686,0,0,0,0
2018-08-22 16:51:25.696589,92,10377379840,10.7401759531,0,0,0,0
2018-08-22 16:51:29.716577,93,10377379840,10.7648093842,0,0,0,0
2018-08-22 16:51:33.737556,94,10377379840,10.7894428152,0,0,0,0
2018-08-22 16:51:37.757826,95,10377379840,10.7648093842,0,0,0,0
2018-08-22 16:51:41.775506,96,10377379840,10.8017595308,1,0,0,0
2018-08-22 16:51:45.785418,97,10377379840,10.7278592375,0,0,0,0
2018-08-22 16:51:49.795381,98,10377379840,10.7894428152,0,0,0,0
2018-08-22 16:51:53.811240,99,10377375744,10.7278592375,0,0,0,0
2018-08-22 16:51:57.833118,100,10377375744,10.7524926686,0,0,0,0
2018-08-22 16:52:01.853892,101,10377375744,10.7648093842,0,0,0,0
2018-08-22 16:52:05.874855,102,10377375744,10.8017595308,0,0,0,0
2018-08-22 16:52:09.894990,103,10377375744,10.7771260997,0,0,0,0
2018-08-22 16:52:13.915507,104,10377375744,10.7648093842,0,0,0,0
2018-08-22 16:52:17.935548,105,10377375744,10.7524926686,0,0,0,0
2018-08-22 16:52:21.956522,106,10377371648,10.7524926686,0,0,0,0
2018-08-22 16:52:25.974800,107,10377371648,10.7771260997,1,0,0,0
2018-08-22 16:52:29.983506,108,10377371648,10.7401759531,0,0,0,0
2018-08-22 16:52:33.992613,109,10377371648,10.7278592375,0,0,0,0
2018-08-22 16:52:38.002354,110,10377371648,10.7278592375,0,0,0,0
2018-08-22 16:52:42.012359,111,10377371648,10.7278592375,0,0,0,0
2018-08-22 16:52:46.032306,112,10377371648,10.7894428152,0,0,0,0
2018-08-22 16:52:50.054016,113,10377371648,10.7401759531,0,0,0,0
2018-08-22 16:52:54.074071,114,10377367552,10.7401759531,0,0,0,0
2018-08-22 16:52:58.096174,115,10377367552,10.7771260997,0,0,0,0
2018-08-22 16:53:02.118050,116,10377367552,10.7771260997,0,0,0,0
2018-08-22 16:53:06.139462,117,10377367552,10.7401759531,0,0,0,0
2018-08-22 16:53:10.160554,118,10377367552,10.7894428152,0,0,0,0
2018-08-22 16:53:14.182367,119,10377367552,10.7278592375,0,0,0,0
2018-08-22 16:53:18.202842,120,10377367552,10.7648093842,0,0,0,0
2018-08-22 16:53:22.223166,121,10377363456,10.7401759531,1,0,0,0
2018-08-22 16:53:26.232985,122,10377363456,10.7401759531,0,0,0,0
2018-08-22 16:53:30.242993,123,10377363456,10.7771260997,0,0,0,0
