CIWS Data Logger Output File
DataloggerName: 0003
SiteName: Site 0003
SiteDescription: Neptune T10 Residential Water Meter
TimeStamp,RecordNumber,Mem_Space_Available,Battery_Voltage,Water_Meter_Pulses,N/A,N/A,N/A
2018-07-23 10:27:34.088947,1,10420936704,10.9249266862,1,0,0,0
2018-07-23 10:27:38.099473,2,10420936704,10.9372434018,0,0,0,0
2018-07-23 10:27:42.109268,3,10420936704,10.9741935484,0,0,0,0
2018-07-23 10:27:46.117679,4,10420932608,10.9495601173,0,0,0,0
2018-07-23 10:27:50.127597,5,10420932608,10.9618768328,0,0,0,0
2018-07-23 10:27:54.136602,6,10420932608,10.9618768328,0,0,0,0
2018-07-23 10:27:58.152780,7,10420932608,10.9126099707,0,0,0,0
2018-07-23 10:28:02.173012,8,10420932608,10.9741935484,0,0,0,0
2018-07-23 10:28:06.193729,9,10420932608,10.9495601173,0,0,0,0
2018-07-23 10:28:10.214652,10,10420932608,10.9372434018,0,0,0,0
2018-07-23 10:28:14.235669,11,10420924416,10.9126099707,0,0,0,0
2018-07-23 10:28:18.257331,12,10420924416,10.9372434018,0,0,0,0
2018-07-23 10:28:22.278573,13,10420924416,10.8879765396,0,0,0,0
2018-07-23 10:28:26.299056,14,10420924416,10.9002932551,1,0,0,0
2018-07-23 10:28:30.307734,15,10420924416,10.9249266862,0,0,0,0
2018-07-23 10:28:34.317036,16,10420924416,10.9372434018,0,0,0,0
2018-07-23 10:28:38.325843,17,10420924416,10.8879765396,0,0,0,0
2018-07-23 10:28:42.341596,18,10420920320,10.9249266862,0,0,0,0
2018-07-23 10:28:46.363093,19,10420920320,10.9372434018,0,0,0,0
2018-07-23 10:28:50.383280,20,10420920320,10.9618768328,0,0,0,0
2018-07-23 10:28:54.403917,21,10420920320,10.9618768328,0,0,0,0
2018-07-23 10:28:58.425228,22,10420920320,10.8879765396,0,0,0,0
2018-07-23 10:29:02.446376,23,10420920320,10.875659824,0,0,0,0
2018-07-23 10:29:06.467027,24,10420920320,10.8879765396,0,0,0,0
2018-07-23 10:29:10.487594,25,10420916224,10.9002932551,0,0,0,0
2018-07-23 10:29:14.508332,26,10420916224,10.9126099707,0,0,0,0
2018-07-23 10:29:18.529736,27,10420916224,10.9372434018,0,0,0,0
2018-07-23 10:29:22.547804,28,10420916224,10.8879765396,1,0,0,0
2018-07-23 10:29:26.557811,29,10420916224,10.9126099707,0,0,0,0
2018-07-23 10:29:30.566855,30,10420916224,10.9249266862,0,0,0,0
2018-07-23 10:29:34.576817,31,10420916224,10.9126099707,0,0,0,0
2018-07-23 10:29:38.587238,32,10420912128,10.8633431085,0,0,0,0
2018-07-23 10:29:42.605886,33,10420912128,10.875659824,0,0,0,0
2018-07-23 10:29:46.626069,34,10420912128,10.8879765396,0,0,0,0
2018-07-23 10:29:50.647222,35,10420912128,10.8879765396,0,0,0,0
2018-07-23 10:29:54.668928,36,10420912128,10.9002932551,0,0,0,0
2018-07-23 10:29:58.689193,37,10420912128,10.9372434018,0,0,0,0
2018-07-23 10:30:02.710471,38,10420912128,10.9372434018,1,0,0,0
2018-07-23 10:30:06.719916,39,10420912128,10.8633431085,0,0,0,0
2018-07-23 10:30:10.729456,40,10420908032,10.9249266862,0,0,0,0
2018-07-23 10:30:14.738270,41,10420908032,10.9002932551,0,0,0,0
2018-07-23 10:30:18.748152,42,10420908032,10.9002932551,0,0,0,0
2018-07-23 10:30:22.766495,43,10420908032,10.851026393,0,0,0,0
2018-07-23 10:30:26.788486,44,10420908032,10.8633431085,0,0,0,0
2018-07-23 10:30:30.810157,45,10420908032,10.9002932551,0,0,0,0
2018-07-23 10:30:34.830913,46,10420908032,10.9002932551,0,0,0,0
2018-07-23 10:30:38.852239,47,10420903936,10.8633431085,0,0,0,0
2018-07-23 10:30:42.874083,48,10420903936,10.8879765396,0,0,0,0
