,timestamp,pulse
0,2018-07-11 13:57:28.414304,0
287,2018-07-11 13:57:32.414304,6
288,2018-07-11 13:57:36.467916,4
289,2018-07-11 13:57:40.520444,4
290,2018-07-11 13:57:44.572843,4
291,2018-07-11 13:57:48.626296,4
292,2018-07-11 13:57:52.679898,4
293,2018-07-11 13:57:56.733212,4
294,2018-07-11 13:58:00.785579,4
295,2018-07-11 13:58:04.839124,4
296,2018-07-11 13:58:08.892930,4
297,2018-07-11 13:58:12.946948,4
298,2018-07-11 13:58:17.000893,4
299,2018-07-11 13:58:21.053992,4
300,2018-07-11 13:58:25.107175,4
301,2018-07-11 13:58:29.160064,4
302,2018-07-11 13:58:33.213262,4
303,2018-07-11 13:58:37.266772,4
304,2018-07-11 13:58:41.320706,4
305,2018-07-11 13:58:45.372967,4
306,2018-07-11 13:58:49.426477,4
307,2018-07-11 13:58:53.479591,4
308,2018-07-11 13:58:57.531893,4
309,2018-07-11 13:59:01.584773,4
310,2018-07-11 13:59:05.637543,4
311,2018-07-11 13:59:09.691175,4
312,2018-07-11 13:59:13.745184,4
313,2018-07-11 13:59:17.798144,4
314,2018-07-11 13:59:21.850367,4
315,2018-07-11 13:59:25.902683,4
316,2018-07-11 13:59:29.956511,4
317,2018-07-11 13:59:34.009397,4
318,2018-07-11 13:59:38.062921,4
319,2018-07-11 13:59:42.116959,4
320,2018-07-11 13:59:46.170308,4
321,2018-07-11 13:59:50.223593,4
322,2018-07-11 13:59:54.277420,3
323,2018-07-11 13:59:58.330196,3
324,2018-07-11 14:00:02.383910,3
325,2018-07-11 14:00:06.437650,4
326,2018-07-11 14:00:10.491655,4
327,2018-07-11 14:00:14.544102,4
328,2018-07-11 14:00:18.596946,4
329,2018-07-11 14:00:22.650542,4
330,2018-07-11 14:00:26.703984,4
331,2018-07-11 14:00:30.756715,4
332,2018-07-11 14:00:34.810300,4
333,2018-07-11 14:00:38.863749,4
334,2018-07-11 14:00:42.917410,4
335,2018-07-11 14:00:46.969942,4
336,2018-07-11 14:00:51.022631,4
337,2018-07-11 14:00:55.075868,4
338,2018-07-11 14:00:59.129409,4
339,2018-07-11 14:01:03.181959,4
340,2018-07-11 14:01:07.234125,4
341,2018-07-11 14:01:11.287512,4
342,2018-07-11 14:01:15.340705,4
343,2018-07-11 14:01:19.393514,4
344,2018-07-11 14:01:23.445560,4
345,2018-07-11 14:01:27.499598,4
346,2018-07-11 14:01:31.553385,4
347,2018-07-11 14:01:35.612397,4
348,2018-07-11 14:01:39.665294,4
-1,2018-07-11 14:01:43.665294,0
