,timestamp,pulse
0,2018-07-17 05:38:22.365767,0.0
17124,2018-07-17 05:38:26.365767,3.0
17125,2018-07-17 05:38:30.395763,3.0
17126,2018-07-17 05:38:34.426614,3.0
17127,2018-07-17 05:38:38.457469,4.0
17128,2018-07-17 05:38:42.488498,4.0
17129,2018-07-17 05:38:46.518497,3.0
17130,2018-07-17 05:38:50.548299,4.0
17131,2018-07-17 05:38:54.578199,4.0
17132,2018-07-17 05:38:58.608867,4.0
17133,2018-07-17 05:39:02.638863,4.0
17134,2018-07-17 05:39:06.668845,3.0
17135,2018-07-17 05:39:10.698021,3.0
-1,2018-07-17 05:39:14.698021,0.0
