,timestamp,pulse
0,2018-08-12 19:00:13.520462,0
93745,2018-08-12 19:00:17.520462,4
93746,2018-08-12 19:00:21.550950,5
93747,2018-08-12 19:00:25.581344,4
93748,2018-08-12 19:00:29.611109,4
93749,2018-08-12 19:00:33.640854,4
93750,2018-08-12 19:00:37.671482,4
93751,2018-08-12 19:00:41.701379,4
93752,2018-08-12 19:00:45.731239,4
93753,2018-08-12 19:00:49.761883,4
93754,2018-08-12 19:00:53.791821,4
93755,2018-08-12 19:00:57.822213,3
93756,2018-08-12 19:01:01.853132,4
93757,2018-08-12 19:01:05.882892,4
93758,2018-08-12 19:01:09.913964,4
93759,2018-08-12 19:01:13.944675,4
93760,2018-08-12 19:01:17.975203,4
93761,2018-08-12 19:01:22.006353,3
93762,2018-08-12 19:01:26.036793,4
93763,2018-08-12 19:01:30.067240,4
93764,2018-08-12 19:01:34.096646,4
93765,2018-08-12 19:01:38.127831,4
93766,2018-08-12 19:01:42.159089,4
93767,2018-08-12 19:01:46.189529,3
93768,2018-08-12 19:01:50.219494,4
93769,2018-08-12 19:01:54.249989,4
93770,2018-08-12 19:01:58.281148,4
93771,2018-08-12 19:02:02.310597,4
93772,2018-08-12 19:02:06.340333,4
93773,2018-08-12 19:02:10.371776,4
93774,2018-08-12 19:02:14.402528,3
93775,2018-08-12 19:02:18.433114,3
93776,2018-08-12 19:02:22.463313,4
93777,2018-08-12 19:02:26.492639,4
93778,2018-08-12 19:02:30.522703,4
93779,2018-08-12 19:02:34.553553,4
93780,2018-08-12 19:02:38.584216,4
93781,2018-08-12 19:02:42.614968,4
93782,2018-08-12 19:02:46.645776,3
93783,2018-08-12 19:02:50.676714,4
93784,2018-08-12 19:02:54.707266,4
93785,2018-08-12 19:02:58.738247,4
93786,2018-08-12 19:03:02.769430,4
93787,2018-08-12 19:03:06.800430,4
93788,2018-08-12 19:03:10.830862,4
93789,2018-08-12 19:03:14.862487,4
93790,2018-08-12 19:03:18.892851,3
93791,2018-08-12 19:03:22.924075,4
93792,2018-08-12 19:03:26.954555,4
93793,2018-08-12 19:03:30.984008,4
93794,2018-08-12 19:03:35.014412,4
93795,2018-08-12 19:03:39.045433,4
93796,2018-08-12 19:03:43.076459,4
93797,2018-08-12 19:03:47.107958,3
93798,2018-08-12 19:03:51.137822,4
93799,2018-08-12 19:03:55.169116,4
93800,2018-08-12 19:03:59.199615,4
93801,2018-08-12 19:04:03.229234,4
93802,2018-08-12 19:04:07.259027,4
93803,2018-08-12 19:04:11.289197,4
93804,2018-08-12 19:04:15.318841,3
93805,2018-08-12 19:04:19.349408,4
93806,2018-08-12 19:04:23.379786,4
93807,2018-08-12 19:04:27.410682,4
93808,2018-08-12 19:04:31.440694,4
93809,2018-08-12 19:04:35.470639,4
93810,2018-08-12 19:04:39.500848,4
93811,2018-08-12 19:04:43.532089,3
93812,2018-08-12 19:04:47.562392,4
93813,2018-08-12 19:04:51.592697,4
93814,2018-08-12 19:04:55.622581,4
93815,2018-08-12 19:04:59.652279,4
93816,2018-08-12 19:05:03.683238,4
93817,2018-08-12 19:05:07.712995,4
93818,2018-08-12 19:05:11.742692,3
93819,2018-08-12 19:05:15.772541,4
-1,2018-08-12 19:05:19.772541,0
