,timestamp,pulse
0,2018-08-06 16:04:25.142396,0
5367,2018-08-06 16:04:29.142396,6
5368,2018-08-06 16:04:33.173413,10
5369,2018-08-06 16:04:37.204344,10
5370,2018-08-06 16:04:41.235092,10
5371,2018-08-06 16:04:45.264224,11
5372,2018-08-06 16:04:49.295182,11
5373,2018-08-06 16:04:53.325694,11
5374,2018-08-06 16:04:57.355741,11
5375,2018-08-06 16:05:01.386088,11
5376,2018-08-06 16:05:05.416467,11
5377,2018-08-06 16:05:09.446002,11
5378,2018-08-06 16:05:13.475928,11
5379,2018-08-06 16:05:17.505843,11
5380,2018-08-06 16:05:21.537218,11
5381,2018-08-06 16:05:25.566837,11
5382,2018-08-06 16:05:29.598645,11
5383,2018-08-06 16:05:33.628150,10
5384,2018-08-06 16:05:37.657360,10
5385,2018-08-06 16:05:41.688376,10
5386,2018-08-06 16:05:45.717934,11
5387,2018-08-06 16:05:49.747802,11
5388,2018-08-06 16:05:53.779049,11
5389,2018-08-06 16:05:57.808698,11
5390,2018-08-06 16:06:01.838903,11
5391,2018-08-06 16:06:05.869144,11
5392,2018-08-06 16:06:09.898566,11
5393,2018-08-06 16:06:13.928170,11
5394,2018-08-06 16:06:17.958311,11
5395,2018-08-06 16:06:21.987618,11
5396,2018-08-06 16:06:26.017069,11
5397,2018-08-06 16:06:30.046449,10
5398,2018-08-06 16:06:34.076585,10
5399,2018-08-06 16:06:38.106335,11
5400,2018-08-06 16:06:42.136421,11
5401,2018-08-06 16:06:46.167235,11
5402,2018-08-06 16:06:50.196471,11
5403,2018-08-06 16:06:54.227235,11
5404,2018-08-06 16:06:58.257987,11
5405,2018-08-06 16:07:02.288454,11
5406,2018-08-06 16:07:06.318378,11
5407,2018-08-06 16:07:10.349214,11
5408,2018-08-06 16:07:14.379660,11
5409,2018-08-06 16:07:18.409000,11
5410,2018-08-06 16:07:22.437963,8
-1,2018-08-06 16:07:26.437963,0
