CIWS Data Logger Output File
DataloggerName: 0004
SiteName: Site 0004
SiteDescription: Neptune T10 Residential Water Meter
TimeStamp,RecordNumber,Mem_Space_Available,Battery_Voltage,Water_Meter_Pulses,N/A,N/A,N/A
2018-07-11 14:35:07.677015,1,10354372608,11.146627566,3,0,0,0
2018-07-11 14:35:11.720223,2,10354372608,11.2328445748,3,0,0,0
2018-07-11 14:35:15.739132,3,10354372608,11.1712609971,3,0,0,0
2018-07-11 14:35:19.757229,4,10354368512,11.1712609971,3,0,0,0
2018-07-11 14:35:23.777206,5,10354368512,11.146627566,3,0,0,0
2018-07-11 14:35:27.796327,6,10354368512,11.2205278592,4,0,0,0
2018-07-11 14:35:31.814953,7,10354368512,11.2205278592,3,0,0,0
2018-07-11 14:35:35.832088,8,10354368512,11.1589442815,3,0,0,0
2018-07-11 14:35:39.850205,9,10354368512,11.2205278592,3,0,0,0
2018-07-11 14:35:43.869047,10,10354368512,11.1343108504,3,0,0,0
2018-07-11 14:35:47.887985,11,10354364416,11.2082111437,3,0,0,0
2018-07-11 14:35:51.906767,12,10354364416,11.2328445748,3,0,0,0
2018-07-11 14:35:55.924765,13,10354364416,11.1589442815,3,0,0,0
2018-07-11 14:35:59.943506,14,10354364416,11.1589442815,3,0,0,0
2018-07-11 14:36:03.961802,15,10354364416,11.1712609971,3,0,0,0
2018-07-11 14:36:07.981227,16,10354364416,11.1589442815,3,0,0,0
2018-07-11 14:36:12.000733,17,10354364416,11.1712609971,3,0,0,0
2018-07-11 14:36:16.019500,18,10354364416,11.1835777126,3,0,0,0
2018-07-11 14:36:20.038067,19,10354360320,11.1958944282,4,0,0,0
2018-07-11 14:36:24.055733,20,10354360320,11.1835777126,3,0,0,0
2018-07-11 14:36:28.073349,21,10354360320,11.2082111437,3,0,0,0
2018-07-11 14:36:32.092553,22,10354360320,11.1835777126,3,0,0,0
2018-07-11 14:36:36.111096,23,10354360320,11.1589442815,3,0,0,0
2018-07-11 14:36:40.130717,24,10354360320,11.1835777126,3,0,0,0
2018-07-11 14:36:44.150144,25,10354360320,11.2328445748,3,0,0,0
2018-07-11 14:36:48.168614,26,10354356224,11.1835777126,4,0,0,0
2018-07-11 14:36:52.188037,27,10354356224,11.2082111437,3,0,0,0
2018-07-11 14:36:56.206045,28,10354356224,11.146627566,3,0,0,0
2018-07-11 14:37:00.224585,29,10354356224,11.1958944282,3,0,0,0
2018-07-11 14:37:04.243230,30,10354356224,11.1589442815,3,0,0,0
2018-07-11 14:37:08.261572,31,10354356224,11.2205278592,3,0,0,0
2018-07-11 14:37:12.279884,32,10354356224,11.1343108504,3,0,0,0
2018-07-11 14:37:16.298926,33,10354352128,11.146627566,4,0,0,0
2018-07-11 14:37:20.317180,34,10354352128,11.1835777126,3,0,0,0
2018-07-11 14:37:24.335636,35,10354352128,11.2082111437,3,0,0,0
2018-07-11 14:37:28.354188,36,10354352128,11.2082111437,3,0,0,0
2018-07-11 14:37:32.373122,37,10354352128,11.1589442815,3,0,0,0
2018-07-11 14:37:36.391560,38,10354352128,11.1589442815,3,0,0,0
2018-07-11 14:37:40.409560,39,10354352128,11.2328445748,3,0,0,0
2018-07-11 14:37:44.428273,40,10354348032,11.1219941349,4,0,0,0
2018-07-11 14:37:48.447240,41,10354348032,11.146627566,3,0,0,0
2018-07-11 14:37:52.465810,42,10354348032,11.2328445748,3,0,0,0
2018-07-11 14:37:56.485129,43,10354348032,11.1589442815,3,0,0,0
2018-07-11 14:38:00.503895,44,10354348032,11.1958944282,3,0,0,0
2018-07-11 14:38:04.521724,45,10354348032,11.1343108504,3,0,0,0
2018-07-11 14:38:08.540241,46,10354348032,11.1958944282,3,0,0,0
2018-07-11 14:38:12.560018,47,10354343936,11.1835777126,3,0,0,0
2018-07-11 14:38:16.577755,48,10354343936,11.2082111437,4,0,0,0
2018-07-11 14:38:20.596258,49,10354343936,11.1958944282,3,0,0,0
2018-07-11 14:38:24.614682,50,10354343936,11.2328445748,3,0,0,0
2018-07-11 14:38:28.632470,51,10354343936,11.1343108504,3,0,0,0
2018-07-11 14:38:32.650585,52,10354343936,11.1958944282,3,0,0,0
2018-07-11 14:38:36.669756,53,10354343936,11.2328445748,3,0,0,0
2018-07-11 14:38:40.689264,54,10354343936,11.1589442815,3,0,0,0
2018-07-11 14:38:44.707160,55,10354339840,11.1219941349,3,0,0,0
2018-07-11 14:38:48.725793,56,10354339840,11.2082111437,3,0,0,0
2018-07-11 14:38:52.744801,57,10354339840,11.1343108504,3,0,0,0
2018-07-11 14:38:56.763679,58,10354339840,11.1219941349,3,0,0,0
2018-07-11 14:39:00.782075,59,10354339840,11.1589442815,3,0,0,0
2018-07-11 14:39:04.801277,60,10354339840,11.1712609971,4,0,0,0
2018-07-11 14:39:08.819113,61,10354339840,11.146627566,3,0,0,0
2018-07-11 14:39:12.837345,62,10354331648,11.2082111437,3,0,0,0
2018-07-11 14:39:16.856339,63,10354331648,11.1958944282,3,0,0,0
2018-07-11 14:39:20.874953,64,10354331648,11.146627566,3,0,0,0
2018-07-11 14:39:24.894279,65,10354331648,11.146627566,3,0,0,0
2018-07-11 14:39:28.912694,66,10354331648,11.146627566,3,0,0,0
2018-07-11 14:39:32.930839,67,10354331648,11.2082111437,4,0,0,0
2018-07-11 14:39:36.948703,68,10354331648,11.1712609971,3,0,0,0
2018-07-11 14:39:40.967151,69,10354327552,11.1589442815,3,0,0,0
2018-07-11 14:39:44.984949,70,10354327552,11.146627566,3,0,0,0
2018-07-11 14:39:49.003351,71,10354327552,11.1343108504,3,0,0,0
2018-07-11 14:39:53.021177,72,10354327552,11.1343108504,3,0,0,0
2018-07-11 14:39:57.040703,73,10354327552,11.1712609971,3,0,0,0
2018-07-11 14:40:01.060286,74,10354327552,11.1343108504,3,0,0,0
2018-07-11 14:40:05.080311,75,10354327552,11.146627566,3,0,0,0
2018-07-11 14:40:09.099037,76,10354323456,11.1219941349,3,0,0,0
2018-07-11 14:40:13.118487,77,10354323456,11.146627566,3,0,0,0
2018-07-11 14:40:17.137504,78,10354323456,11.1589442815,3,0,0,0
2018-07-11 14:40:21.156410,79,10354323456,11.1343108504,4,0,0,0
2018-07-11 14:40:25.175286,80,10354323456,11.146627566,3,0,0,0
2018-07-11 14:40:29.193815,81,10354323456,11.146627566,3,0,0,0
2018-07-11 14:40:33.212810,82,10354323456,11.1343108504,3,0,0,0
2018-07-11 14:40:37.230875,83,10354319360,11.146627566,3,0,0,0
2018-07-11 14:40:41.249691,84,10354319360,11.1712609971,3,0,0,0
2018-07-11 14:40:45.267899,85,10354319360,11.1712609971,3,0,0,0
2018-07-11 14:40:49.286691,86,10354319360,11.1835777126,3,0,0,0
2018-07-11 14:40:53.304443,87,10354319360,11.1712609971,3,0,0,0
2018-07-11 14:40:57.323882,88,10354319360,11.1835777126,3,0,0,0
2018-07-11 14:41:01.341991,89,10354319360,11.1958944282,3,0,0,0
2018-07-11 14:41:05.361703,90,10354315264,11.146627566,3,0,0,0
2018-07-11 14:41:09.380012,91,10354315264,11.1712609971,3,0,0,0
2018-07-11 14:41:13.398216,92,10354315264,11.1343108504,3,0,0,0
2018-07-11 14:41:17.416580,93,10354315264,11.1343108504,3,0,0,0
2018-07-11 14:41:21.434718,94,10354315264,11.1219941349,3,0,0,0
2018-07-11 14:41:25.454110,95,10354315264,11.1958944282,3,0,0,0
2018-07-11 14:41:29.473162,96,10354315264,11.1219941349,3,0,0,0
2018-07-11 14:41:33.491620,97,10354315264,11.146627566,3,0,0,0
2018-07-11 14:41:37.511022,98,10354311168,11.1712609971,3,0,0,0
2018-07-11 14:41:41.530265,99,10354311168,11.146627566,3,0,0,0
2018-07-11 14:41:45.548884,100,10354311168,11.1589442815,3,0,0,0
2018-07-11 14:41:49.568031,101,10354311168,11.1835777126,3,0,0,0
2018-07-11 14:41:53.586732,102,10354311168,11.1343108504,3,0,0,0
2018-07-11 14:41:57.605678,103,10354311168,11.2205278592,3,0,0,0
2018-07-11 14:42:01.624200,104,10354311168,11.1712609971,3,0,0,0
2018-07-11 14:42:05.643022,105,10354307072,11.1958944282,4,0,0,0
2018-07-11 14:42:09.662618,106,10354307072,11.1835777126,3,0,0,0
2018-07-11 14:42:13.681645,107,10354307072,11.1343108504,3,0,0,0
2018-07-11 14:42:17.699701,108,10354307072,11.1343108504,3,0,0,0
2018-07-11 14:42:21.718065,109,10354307072,11.1712609971,3,0,0,0
2018-07-11 14:42:25.736978,110,10354307072,11.146627566,3,0,0,0
2018-07-11 14:42:29.755634,111,10354307072,11.1589442815,3,0,0,0
2018-07-11 14:42:33.775071,112,10354302976,11.1712609971,3,0,0,0
2018-07-11 14:42:37.793542,113,10354302976,11.1343108504,3,0,0,0
2018-07-11 14:42:41.813120,114,10354302976,11.1712609971,3,0,0,0
2018-07-11 14:42:45.832269,115,10354302976,11.1712609971,3,0,0,0
2018-07-11 14:42:49.851569,116,10354302976,11.1835777126,4,0,0,0
2018-07-11 14:42:53.869772,117,10354302976,11.1835777126,3,0,0,0
2018-07-11 14:42:57.889616,118,10354302976,11.1589442815,3,0,0,0
2018-07-11 14:43:01.909130,119,10354298880,11.1589442815,3,0,0,0
2018-07-11 14:43:05.926617,120,10354298880,11.1219941349,3,0,0,0
2018-07-11 14:43:09.945292,121,10354298880,11.1343108504,3,0,0,0
2018-07-11 14:43:13.964152,122,10354298880,11.146627566,3,0,0,0
2018-07-11 14:43:17.982118,123,10354298880,11.146627566,3,0,0,0
2018-07-11 14:43:22.000573,124,10354298880,11.146627566,3,0,0,0
2018-07-11 14:43:26.019328,125,10354298880,11.1096774194,3,0,0,0
2018-07-11 14:43:30.038610,126,10354290688,11.1219941349,3,0,0,0
2018-07-11 14:43:34.057604,127,10354290688,11.1219941349,4,0,0,0
2018-07-11 14:43:38.076821,128,10354290688,11.146627566,3,0,0,0
2018-07-11 14:43:42.096366,129,10354290688,11.2082111437,3,0,0,0
2018-07-11 14:43:46.115744,130,10354290688,11.1343108504,3,0,0,0
2018-07-11 14:43:50.134190,131,10354290688,11.1835777126,3,0,0,0
2018-07-11 14:43:54.153267,132,10354290688,11.1835777126,3,0,0,0
2018-07-11 14:43:58.172277,133,10354286592,11.1712609971,3,0,0,0
2018-07-11 14:44:02.190711,134,10354286592,11.1343108504,3,0,0,0
2018-07-11 14:44:06.209487,135,10354286592,11.2205278592,3,0,0,0
2018-07-11 14:44:10.229081,136,10354286592,11.146627566,3,0,0,0
2018-07-11 14:44:14.248494,137,10354286592,11.1589442815,3,0,0,0
2018-07-11 14:44:18.266770,138,10354286592,11.1712609971,3,0,0,0
2018-07-11 14:44:22.284959,139,10354286592,11.1958944282,4,0,0,0
2018-07-11 14:44:26.303504,140,10354286592,11.1958944282,3,0,0,0
2018-07-11 14:44:30.321314,141,10354282496,11.1096774194,3,0,0,0
2018-07-11 14:44:34.339011,142,10354282496,11.2082111437,3,0,0,0
2018-07-11 14:44:38.356641,143,10354282496,11.1219941349,3,0,0,0
2018-07-11 14:44:42.375394,144,10354282496,11.1219941349,3,0,0,0
2018-07-11 14:44:46.393640,145,10354282496,11.2082111437,3,0,0,0
2018-07-11 14:44:50.412978,146,10354282496,11.1343108504,3,0,0,0
2018-07-11 14:44:54.431573,147,10354282496,11.146627566,3,0,0,0
2018-07-11 14:44:58.449762,148,10354278400,11.1589442815,3,0,0,0
2018-07-11 14:45:02.469778,149,10354278400,11.1835777126,3,0,0,0
2018-07-11 14:45:06.488746,150,10354278400,11.1835777126,3,0,0,0
2018-07-11 14:45:10.507655,151,10354278400,11.1343108504,3,0,0,0
2018-07-11 14:45:14.526895,152,10354278400,11.146627566,3,0,0,0
2018-07-11 14:45:18.545907,153,10354278400,11.1219941349,4,0,0,0
2018-07-11 14:45:22.563579,154,10354278400,11.2205278592,3,0,0,0
2018-07-11 14:45:26.581771,155,10354274304,11.1343108504,3,0,0,0
2018-07-11 14:45:30.599928,156,10354274304,11.1589442815,3,0,0,0
2018-07-11 14:45:34.618588,157,10354274304,11.1343108504,3,0,0,0
2018-07-11 14:45:38.636782,158,10354274304,11.1958944282,4,0,0,0
2018-07-11 14:45:42.655445,159,10354274304,11.1343108504,3,0,0,0
2018-07-11 14:45:46.673486,160,10354274304,11.1343108504,3,0,0,0
2018-07-11 14:45:50.692330,161,10354274304,11.1835777126,3,0,0,0
2018-07-11 14:45:54.711194,162,10354270208,11.2082111437,3,0,0,0
2018-07-11 14:45:58.728887,163,10354270208,11.1219941349,4,0,0,0
2018-07-11 14:46:02.746719,164,10354270208,11.1835777126,3,0,0,0
2018-07-11 14:46:06.766273,165,10354270208,11.2082111437,3,0,0,0
2018-07-11 14:46:10.785551,166,10354270208,11.1219941349,3,0,0,0
2018-07-11 14:46:14.804857,167,10354270208,11.146627566,4,0,0,0
2018-07-11 14:46:18.824585,168,10354270208,11.1958944282,3,0,0,0
2018-07-11 14:46:22.842777,169,10354270208,11.1219941349,3,0,0,0
2018-07-11 14:46:26.861800,170,10354266112,11.1343108504,3,0,0,0
2018-07-11 14:46:30.880823,171,10354266112,11.1835777126,3,0,0,0
2018-07-11 14:46:34.899518,172,10354266112,11.2082111437,4,0,0,0
2018-07-11 14:46:38.918936,173,10354266112,11.1958944282,3,0,0,0
2018-07-11 14:46:42.937187,174,10354266112,11.1219941349,3,0,0,0
2018-07-11 14:46:46.956090,175,10354266112,11.146627566,3,0,0,0
2018-07-11 14:46:50.974092,176,10354266112,11.1343108504,4,0,0,0
2018-07-11 14:46:54.992020,177,10354262016,11.1096774194,3,0,0,0
2018-07-11 14:46:59.010102,178,10354262016,11.1712609971,3,0,0,0
2018-07-11 14:47:03.028370,179,10354262016,11.2082111437,3,0,0,0
2018-07-11 14:47:07.048383,180,10354262016,11.1096774194,3,0,0,0
2018-07-11 14:47:11.067274,181,10354262016,11.1835777126,4,0,0,0
2018-07-11 14:47:15.086297,182,10354262016,11.2082111437,3,0,0,0
2018-07-11 14:47:19.104270,183,10354262016,11.1712609971,3,0,0,0
2018-07-11 14:47:23.123936,184,10354257920,11.1712609971,3,0,0,0
2018-07-11 14:47:27.142524,185,10354257920,11.2082111437,4,0,0,0
2018-07-11 14:47:31.161454,186,10354257920,11.1219941349,3,0,0,0
2018-07-11 14:47:35.180398,187,10354257920,11.146627566,3,0,0,0
2018-07-11 14:47:39.198967,188,10354257920,11.1219941349,3,0,0,0
2018-07-11 14:47:43.218446,189,10354253824,11.146627566,4,0,0,0
2018-07-11 14:47:47.237812,190,10354253824,11.1712609971,3,0,0,0
2018-07-11 14:47:51.255737,191,10354249728,11.1219941349,3,0,0,0
2018-07-11 14:47:55.274978,192,10354249728,11.1589442815,3,0,0,0
2018-07-11 14:47:59.292858,193,10354249728,11.1219941349,3,0,0,0
2018-07-11 14:48:03.312390,194,10354249728,11.1958944282,3,0,0,0
2018-07-11 14:48:07.330449,195,10354249728,11.1835777126,4,0,0,0
2018-07-11 14:48:11.349164,196,10354249728,11.1712609971,3,0,0,0
2018-07-11 14:48:15.368078,197,10354249728,11.1219941349,3,0,0,0
2018-07-11 14:48:19.385906,198,10354245632,11.146627566,3,0,0,0
2018-07-11 14:48:23.404363,199,10354245632,11.146627566,3,0,0,0
2018-07-11 14:48:27.424091,200,10354245632,11.1712609971,3,0,0,0
2018-07-11 14:48:31.442068,201,10354245632,11.1958944282,3,0,0,0
2018-07-11 14:48:35.461173,202,10354245632,11.1343108504,3,0,0,0
2018-07-11 14:48:39.479704,203,10354245632,11.1712609971,3,0,0,0
2018-07-11 14:48:43.498845,204,10354245632,11.1219941349,3,0,0,0
2018-07-11 14:48:47.516966,205,10354241536,11.1712609971,3,0,0,0
2018-07-11 14:48:51.536046,206,10354241536,11.1712609971,3,0,0,0
2018-07-11 14:48:55.554545,207,10354241536,11.2082111437,3,0,0,0
2018-07-11 14:48:59.572462,208,10354241536,11.1958944282,3,0,0,0
2018-07-11 14:49:03.590574,209,10354241536,11.1096774194,4,0,0,0
2018-07-11 14:49:07.609393,210,10354241536,11.1219941349,3,0,0,0
2018-07-11 14:49:11.628743,211,10354241536,11.1712609971,3,0,0,0
2018-07-11 14:49:15.647586,212,10354241536,11.1589442815,3,0,0,0
2018-07-11 14:49:19.666165,213,10354237440,11.146627566,3,0,0,0
2018-07-11 14:49:23.684949,214,10354237440,11.1219941349,3,0,0,0
2018-07-11 14:49:27.703802,215,10354237440,11.1219941349,3,0,0,0
2018-07-11 14:49:31.722831,216,10354237440,11.1835777126,4,0,0,0
2018-07-11 14:49:35.740674,217,10354237440,11.2082111437,3,0,0,0
2018-07-11 14:49:39.759532,218,10354237440,11.1712609971,3,0,0,0
2018-07-11 14:49:43.777281,219,10354237440,11.1343108504,3,0,0,0
2018-07-11 14:49:47.796722,220,10354233344,11.1343108504,3,0,0,0
2018-07-11 14:49:51.815757,221,10354233344,11.1343108504,3,0,0,0
2018-07-11 14:49:55.834848,222,10354233344,11.1343108504,4,0,0,0
2018-07-11 14:49:59.852857,223,10354233344,11.1343108504,3,0,0,0
2018-07-11 14:50:03.871553,224,10354233344,11.1219941349,3,0,0,0
