CIWS Data Logger Output File
DataloggerName: 0004
SiteName: Site 0004
SiteDescription: Neptune T10 Residential Water Meter
TimeStamp,RecordNumber,Mem_Space_Available,Battery_Voltage,Water_Meter_Pulses,N/A,N/A,N/A
2018-07-09 10:54:44.228979,1,10322796544,11.2082111437,4,0,0,0
2018-07-09 10:54:48.249455,2,10322796544,11.1958944282,3,0,0,0
2018-07-09 10:54:52.268648,3,10322796544,11.1096774194,3,0,0,0
2018-07-09 10:54:56.286747,4,10322796544,11.1589442815,3,0,0,0
2018-07-09 10:55:00.306724,5,10322796544,11.1219941349,3,0,0,0
2018-07-09 10:55:04.326194,6,10322796544,11.1343108504,4,0,0,0
2018-07-09 10:55:08.344597,7,10322792448,11.1343108504,3,0,0,0
2018-07-09 10:55:12.364059,8,10322792448,11.1343108504,3,0,0,0
2018-07-09 10:55:16.382944,9,10322792448,11.146627566,3,0,0,0
2018-07-09 10:55:20.401700,10,10322792448,11.1096774194,3,0,0,0
2018-07-09 10:55:24.420690,11,10322792448,11.1096774194,3,0,0,0
2018-07-09 10:55:28.439676,12,10322792448,11.1343108504,3,0,0,0
2018-07-09 10:55:32.458074,13,10322792448,11.1096774194,3,0,0,0
2018-07-09 10:55:36.477241,14,10322788352,11.1712609971,3,0,0,0
2018-07-09 10:55:40.497047,15,10322788352,11.1589442815,3,0,0,0
2018-07-09 10:55:44.516530,16,10322788352,11.1096774194,3,0,0,0
2018-07-09 10:55:48.534523,17,10322788352,11.1958944282,3,0,0,0
2018-07-09 10:55:52.553347,18,10322788352,11.146627566,3,0,0,0
2018-07-09 10:55:56.572790,19,10322788352,11.1589442815,3,0,0,0
2018-07-09 10:56:00.592207,20,10322788352,11.1712609971,4,0,0,0
2018-07-09 10:56:04.611983,21,10322784256,11.146627566,3,0,0,0
2018-07-09 10:56:08.633488,22,10322784256,11.1835777126,3,0,0,0
2018-07-09 10:56:12.654080,23,10322784256,11.1096774194,3,0,0,0
2018-07-09 10:56:16.672435,24,10322784256,11.146627566,3,0,0,0
2018-07-09 10:56:20.691358,25,10322784256,11.1712609971,3,0,0,0
2018-07-09 10:56:24.709434,26,10322784256,11.146627566,4,0,0,0
2018-07-09 10:56:28.727729,27,10322784256,11.1096774194,3,0,0,0
2018-07-09 10:56:32.745838,28,10322780160,11.1096774194,3,0,0,0
2018-07-09 10:56:36.764653,29,10322780160,11.1219941349,3,0,0,0
2018-07-09 10:56:40.783035,30,10322780160,11.1835777126,3,0,0,0
2018-07-09 10:56:44.806161,31,10322780160,11.1835777126,4,0,0,0
2018-07-09 10:56:48.824944,32,10322780160,11.1219941349,3,0,0,0
2018-07-09 10:56:52.843910,33,10322780160,11.1958944282,3,0,0,0
2018-07-09 10:56:56.862617,34,10322780160,11.0973607038,4,0,0,0
2018-07-09 10:57:00.882164,35,10322776064,11.1589442815,3,0,0,0
2018-07-09 10:57:04.900425,36,10322776064,11.1343108504,3,0,0,0
2018-07-09 10:57:08.918459,37,10322776064,11.146627566,3,0,0,0
2018-07-09 10:57:12.938122,38,10322776064,11.1219941349,3,0,0,0
2018-07-09 10:57:16.956621,39,10322776064,11.1343108504,4,0,0,0
2018-07-09 10:57:20.975603,40,10322776064,11.1712609971,3,0,0,0
2018-07-09 10:57:24.994220,41,10322776064,11.146627566,3,0,0,0
2018-07-09 10:57:29.013044,42,10322771968,11.0973607038,3,0,0,0
2018-07-09 10:57:33.030877,43,10322771968,11.1219941349,4,0,0,0
2018-07-09 10:57:37.049305,44,10322771968,11.1589442815,3,0,0,0
2018-07-09 10:57:41.067687,45,10322771968,11.1096774194,3,0,0,0
2018-07-09 10:57:45.086911,46,10322771968,11.1712609971,3,0,0,0
2018-07-09 10:57:49.104999,47,10322771968,11.1096774194,4,0,0,0
2018-07-09 10:57:53.123127,48,10322771968,11.1589442815,3,0,0,0
2018-07-09 10:57:57.141740,49,10322771968,11.1835777126,3,0,0,0
2018-07-09 10:58:01.160462,50,10322767872,11.1096774194,3,0,0,0
2018-07-09 10:58:05.179533,51,10322767872,11.1712609971,3,0,0,0
2018-07-09 10:58:09.198093,52,10322767872,11.1589442815,4,0,0,0
2018-07-09 10:58:13.216245,53,10322767872,11.0850439883,3,0,0,0
2018-07-09 10:58:17.234156,54,10322767872,11.1712609971,3,0,0,0
2018-07-09 10:58:21.253881,55,10322767872,11.146627566,3,0,0,0
2018-07-09 10:58:25.271959,56,10322767872,11.1096774194,3,0,0,0
